名称,计数
材料科学与工程,30
化学,25
生物学,16
数学,14
计算机科学与技术,12
生态学,11
机械工程,10
控制科学与工程,9
环境科学与工程,9
化学工程与技术,9
信息与通信工程,8
土木工程,8
临床医学,8
基础医学,8
药学,7
物理学,7
统计学,7
力学,7
管理科学与工程,7
电气工程,7
中药学,6
中国语言文学,6
政治学,6
应用经济学,6
外国语言文学,6
马克思主义理论,6
矿业工程,6
法学,6
地质学,6
哲学,5
软件工程,5
电子科学与技术,5
作物学,4
中国史,4
口腔医学,4
交通运输工程,4
风景园林学,4
地质资源与地质工程,4
中医学,3
植物保护,3
音乐与舞蹈学,3
现代语言学,3
世界史,3
石油与天然气工程,3
生物医学工程,3
农林经济管理,3
理论经济学,3
建筑学,3
工商管理,3
动力工程及工程热物理,3
地球物理学,3
地理学,3
大气科学,3
畜牧学,3
安全科学与工程,3
中西医结合,2
园艺学,2
语言学,2
艺术学理论,2
仪器科学与技术,2
冶金工程,2
新闻传播学,2
心理学,2
系统科学,2
戏剧与影视学,2
图书情报与档案管理,2
天文学,2
体育学,2
水利工程,2
水产,2
兽医学,2
食品科学与工程,2
社会学,2
设计学,2
商业与管理,2
轻工技术与工程,2
农业资源与环境,2
农业工程,2
农学,2
民族学,2
美术学,2
林业工程,2
林学,2
科学技术史,2
考古学,2
教育学,2
机械及航空航天和制造工程,2
护理学,2
核科学与技术,2
航空宇航科学与技术,2
海洋科学,2
光学工程,2
公共卫生与预防医学,2
公共管理,2
纺织科学与工程,2
船舶与海洋工程,2
城乡规划学,2
测绘科学与技术,2
草学,2
兵器科学与技术,2
戏剧与影视,1
图书情报与档案管理,1
统计学与运筹学,1
视学艺术与设计,1
社会政策与管理,1
经济学和计量经济学,1
计算机科学与技术,1
会计与金融,1
公安学,1
电子电气工程,1
